Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Aesi, Tyrant of Gyre Strait",365,cmr,Commander Legends,12.87,true,NearMint,German,20241012,7.5,7.5
1,"Arboreal Grazer",149,war,War of the Spark,0.13,false,NearMint,German,20241012,0.01,0.01
1,"Archdruid's Charm",151,mkm,Murders at Karlov Manor,4.42,false,NearMint,German,20241012,1.98,1.98
1,"Azusa, Lost but Seeking",173,m21,Core Set 2021,9.91,false,NearMint,German,20241012,5.55,5.55
1,"Beast Within",190,bbd,Battlebond,1.27,false,NearMint,English,20241012,0.9,0.9
1,"Brainstorm",76,5ed,Fifth Edition,1.34,false,NearMint,English,20241012,1.0,1.0
1,"Breeding Pool",246,rna,Ravnica Allegiance,18.04,false,NearMint,German,20241012,13.0,13.0
1,"Broken Bond",157,dom,Dominaria,0.23,false,NearMint,English,20241012,0.17,0.17
1,"Castle Vantress",242,peld,Throne of Eldraine Promos,3.86,true,NearMint,German,20241012,3.29,3.29
1,"Coiling Oracle",375,2x2,Double Masters 2022,0.13,false,NearMint,English,20241012,0.02,0.02
1,"Command Tower",659,cmm,Commander Masters,2.97,true,NearMint,German,20241012,1.5,1.5
1,"Counterspell",65,4ed,Fourth Edition,1.64,false,NearMint,German,20241012,1.26,1.26
1,"Crucible of Worlds",303,2x2,Double Masters 2022,24.36,false,NearMint,German,20241012,21.0,21.0
1,"Crystal Vein",325,mir,Mirage,3.9,false,NearMint,English,20241012,2.74,2.74
1,"Cultivate",135,cm2,Commander Anthology Volume II,0.78,false,NearMint,English,20241012,0.69,0.69
1,"Cultivator Colossus",195,pvow,Innistrad: Crimson Vow Promos,15.39,false,NearMint,German,20241012,10.72,10.72
1,"Cyclonic Rift",35,rtr,Return to Ravnica,30.58,false,NearMint,German,20241012,25.0,25.0
1,"Delighted Halfling",402,pltr,Tales of Middle-earth Promos,13.29,true,NearMint,German,20241012,11.0,11.0
1,"Dryad of the Ilysian Grove",169,thb,Theros Beyond Death,9.18,true,NearMint,German,20241012,7.11,7.11
1,"Evolving Wilds",352,clb,Commander Legends: Battle for Baldur's Gate,0.07,false,NearMint,German,20241012,0.01,0.01
1,"Explore",99,wwk,Worldwake,0.27,false,NearMint,German,20241012,0.11,0.11
